type;price;priсePerEarthsquare;houseSquare;earthSquare;floors;place;URL
house;9990000;133200;75;10.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/254270364/
cottage;10000000;44170;226.4;20.16;3;Калужское шоссе;https://www.cian.ru/sale/suburban/239506118/
house;10000000;75758;132;12.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/259184783/
house;10000000;62500;160;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/236008675/
house;10199999;223684;45.6;18.0;1;Калужское шоссе;https://www.cian.ru/sale/suburban/260010979/
house;10150000;61515;165;6.6;2;Носовихинское шоссе;https://www.cian.ru/sale/suburban/234929524/
house;10300000;103000;100;5.0;2;Минское шоссе;https://www.cian.ru/sale/suburban/262122169/
cottage;10500000;30000;350;24.0;4;Варшавское шоссе;https://www.cian.ru/sale/suburban/257484301/
house;10500000;28378;370;18.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/253178396/
house;10500000;60345;174;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264035382/
house;10500000;100000;105;7.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/263864436/
cottage;10500000;100000;105;7.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264115998/
cottage;10500000;67308;156;10.0;1;Калужское шоссе;https://www.cian.ru/sale/suburban/262519482/
house;10500000;103143;101.8;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263695928/
house;10500000;140000;75;14.0;1;Боровское шоссе;https://www.cian.ru/sale/suburban/258379248/
house;10500000;84000;125;9.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/264654584/
cottage;10490000;38708;271;15.0;3;Варшавское шоссе;https://www.cian.ru/sale/suburban/237379923/
house;10650000;158718;67.1;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263158835/
house;10800000;51429;210;12.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/261792100/
house;10800000;180000;60;15.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/264816037/
house;10900000;68125;160;16.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/259291645/
house;10950000;109500;100;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/261396807/
cottage;10900000;43600;250;7.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/249945864/
house;10988500;24220;453.7;10.71;3;Калужское шоссе;https://www.cian.ru/sale/suburban/260403452/
cottage;11000000;114583;96;15.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/240740929/
house;11000000;110000;100;11.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/261256228/
cottage;11000000;24176;455;11.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/230512421/
house;11000000;42969;256;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262524798/
house;11000000;45833;240;24.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/246873530/
house;11000000;110000;100;11.0;;Минское шоссе;https://www.cian.ru/sale/suburban/263574289/
house;11300000;80714;140;16.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/265031242/
house;11300000;76351;148;6.08;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264539917/
house;11328000;25007;453;10.0;;Калужское шоссе;https://www.cian.ru/sale/suburban/222510500/
house;11500000;145019;79.3;6.5;;Калужское шоссе;https://www.cian.ru/sale/suburban/263126631/
house;11500000;79420;144.8;6.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/264771898/
house;11500000;109005;105.5;9.2;2;Минское шоссе;https://www.cian.ru/sale/suburban/260516579/
house;11500000;115000;100;3.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/263213605/
house;11500000;57500;200;8.8;2;Киевское шоссе;https://www.cian.ru/sale/suburban/257311523/
house;11500000;27913;412;32.0;2;Симферопольское шоссе;https://www.cian.ru/sale/suburban/263584850/
house;11499999;43396;265;6.0;3;Варшавское шоссе;https://www.cian.ru/sale/suburban/263760911/
cottage;11500000;57214;201;8.8;2;Киевское шоссе;https://www.cian.ru/sale/suburban/247787940/
house;11500000;101322;113.5;3.6;2;Киевское шоссе;https://www.cian.ru/sale/suburban/265182194/
house;11700000;58500;200;12.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/262472626/
house;11790000;107182;110;7.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/254060875/
house;11800000;102609;115;8.0;1;Киевское шоссе;https://www.cian.ru/sale/suburban/265370017/
house;11800000;60513;195;6.5;2;Киевское шоссе;https://www.cian.ru/sale/suburban/263874356/
house;11800000;118000;100;12.05;2;Калужское шоссе;https://www.cian.ru/sale/suburban/254119746/
cottage;11850000;65833;180;8.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/201676535/
cottage;11950000;46139;259;9.6;2;Киевское шоссе;https://www.cian.ru/sale/suburban/228195748/
house;11980000;140445;85.3;18.3;1;Носовихинское шоссе;https://www.cian.ru/sale/suburban/262730696/
house;11999999;107623;111.5;6.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/260927016/
cottage;11900000;170000;70;1.9;2;Ленинградское шоссе;https://www.cian.ru/sale/suburban/262723323/
cottage;11900000;39145;304;15.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/237379346/
house;11990000;119900;100;17.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/256709673/
house;12000000;93897;127.8;6.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/252942368/
house;12000000;82759;145;4.5;2;Калужское шоссе;https://www.cian.ru/sale/suburban/259832269/
house;12000000;28302;424;12.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/211902913/
house;12000000;111111;108;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/255602439/
house;12200000;203333;60;8.7;1;Варшавское шоссе;https://www.cian.ru/sale/suburban/257050591/
house;12500000;312500;40;19.0;1;Калужское шоссе;https://www.cian.ru/sale/suburban/264540024/
house;12500000;140449;89;12.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/261115346/
house;12500000;152439;82;6.7;2;;https://www.cian.ru/sale/suburban/264464012/
house;12700000;138194;91.9;11.1;;Варшавское шоссе;https://www.cian.ru/sale/suburban/262297351/
house;12700000;112389;113;4.1;2;Киевское шоссе;https://www.cian.ru/sale/suburban/264154522/
house;12700000;77581;163.7;6.0;3;Калужское шоссе;https://www.cian.ru/sale/suburban/264542280/
house;12860000;85733;150;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264819886/
house;12800000;68449;187;25.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/258863014/
house;12900000;75838;170.1;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/262408310/
house;13000000;67708;192;6.0;2;Варшавское шоссе;https://www.cian.ru/sale/suburban/253184725/
house;13000000;65000;200;7.0;2;Можайское шоссе;https://www.cian.ru/sale/suburban/236638145/
house;13280000;37943;350;16.0;2;Киевское шоссе;https://www.cian.ru/sale/suburban/264540050/
house;13190000;122130;108;6.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/264670374/
cottage;13300000;66500;200;10.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/258187120/
house;13500000;108000;125;24.0;2;Боровское шоссе;https://www.cian.ru/sale/suburban/251207098/
house;13500000;64286;210;8.0;2;Калужское шоссе;https://www.cian.ru/sale/suburban/263692035/
